trades,wins,losses,win_rate,profit_factor,net_profit_pct,max_drawdown_pct,expectancy_pct,avg_trade_pct,best_trade_pct,worst_trade_pct,strategy,symbol,interval,provider,candles,params,params_label,composite_score
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,FETUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,PIPPINUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,SIRENUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,PUMPUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,SHIBUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,FARTCOINUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,WIFUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,RENDERUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,GALAUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,WLDUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,SEIUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,VIRTUALUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,JCTUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,ASTERUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,PENGUUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,UNIUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,APTUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,TRUMPUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,CRVUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,XLMUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,ARBUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,BEATUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,HBARUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,ROBOUSDT,15m,bitget,1220,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,MMTUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,TRIAUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,HUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,NIGHTUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,ARCUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,CYSUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,POWERUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,OPNUSDT,15m,bitget,1706,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,XMRUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,1000BONKUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,TIAUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,KERNELUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,GWEIUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,MYXUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,SAHARAUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,ONDOUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,UAIUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,SANDUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,ZROUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,DENTUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,AINUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,BANANAS31USDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,BERAUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,POLUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,OPUSDT,15m,bitget,2000,{},base,0.0
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_v62_guarded_profile,VVVUSDT,15m,bitget,2000,{},base,0.0
50,23,27,46.0,0.96,-8.15,10.42,-0.011,-0.011,1.55,-1.46,gaussian_v62_profile,BNBUSDT,15m,bitget,2000,{},base,-0.3835
54,20,34,37.04,1.07,-7.54,11.8,0.017,0.017,2.23,-1.5,gaussian_v62_profile,LTCUSDT,15m,bitget,2000,{},base,-0.5894
50,24,26,48.0,0.95,-8.81,11.66,-0.018,-0.018,1.57,-1.98,gaussian_v62_profile,SANDUSDT,15m,bitget,2000,{},base,-0.7505
29,14,15,48.28,0.9,-7.52,14.87,-0.09,-0.09,3.83,-5.24,gaussian_v62_profile,ROBOUSDT,15m,bitget,1220,{},base,-0.7556
50,17,33,34.0,1.03,-7.21,12.07,0.013,0.013,5.31,-4.15,gaussian_v62_profile,ARIAUSDT,15m,bitget,2000,{},base,-0.7705
51,23,28,45.1,1.12,-8.57,15.28,0.073,0.073,5.36,-3.34,gaussian_v62_profile,ZROUSDT,15m,bitget,2000,{},base,-1.0085
58,30,28,51.72,0.95,-10.2,13.31,-0.024,-0.024,2.01,-3.31,gaussian_v62_profile,PUMPUSDT,15m,bitget,2000,{},base,-1.2912
50,22,28,44.0,0.85,-10.81,10.88,-0.069,-0.069,2.71,-2.61,gaussian_v62_profile,HYPEUSDT,15m,bitget,2000,{},base,-1.5565
49,20,29,40.82,0.93,-8.63,14.73,-0.028,-0.028,1.74,-2.54,gaussian_v62_profile,FETUSDT,15m,bitget,2000,{},base,-1.6334
57,23,34,40.35,0.85,-10.69,11.38,-0.045,-0.045,1.65,-1.96,gaussian_v62_profile,ASTERUSDT,15m,bitget,2000,{},base,-1.7245
55,24,31,43.64,0.85,-10.51,12.38,-0.048,-0.048,1.12,-2.35,gaussian_v62_profile,MMTUSDT,15m,bitget,2000,{},base,-1.7539
52,21,31,40.38,0.88,-10.85,12.55,-0.045,-0.045,1.87,-2.0,gaussian_v62_profile,TRUMPUSDT,15m,bitget,2000,{},base,-1.9373
54,23,31,42.59,0.93,-10.0,15.64,-0.029,-0.029,2.53,-2.91,gaussian_v62_profile,1000BONKUSDT,15m,bitget,2000,{},base,-2.1224
58,25,33,43.1,0.83,-12.09,12.19,-0.065,-0.065,2.56,-2.01,gaussian_v62_profile,SEIUSDT,15m,bitget,2000,{},base,-2.2065
65,25,40,38.46,1.06,-11.48,16.01,0.028,0.028,6.01,-3.13,gaussian_v62_profile,KERNELUSDT,15m,bitget,2000,{},base,-2.3576
50,22,28,44.0,0.82,-12.87,14.07,-0.083,-0.083,2.82,-3.0,gaussian_v62_profile,CRVUSDT,15m,bitget,2000,{},base,-2.7975
