trades,wins,losses,win_rate,profit_factor,net_profit_pct,max_drawdown_pct,expectancy_pct,avg_trade_pct,best_trade_pct,worst_trade_pct,strategy,symbol,interval,provider,candles,params,params_label,composite_score
54,23,31,42.59,1.34,-2.13,12.57,0.127,0.127,2.22,-2.68,gaussian_v62_profile,PENGUUSDT,15m,bitget,2000,{},base,1.5911
14,7,7,50.0,1.82,1.94,5.3,0.297,0.297,2.92,-3.19,gaussian_v61_profile,XPLUSDT,15m,bitget,2000,{},base,1.5845
14,7,7,50.0,1.82,1.94,5.3,0.297,0.297,2.92,-3.19,gaussian_v75_profile,XPLUSDT,15m,bitget,2000,{},base,1.5845
56,26,30,46.43,1.29,-3.82,10.46,0.096,0.096,1.57,-2.04,gaussian_v62_profile,ONDOUSDT,15m,bitget,2000,{},base,1.5822
11,7,4,63.64,1.69,2.98,3.51,0.434,0.434,2.09,-2.89,gaussian_v61_profile,ZROUSDT,15m,bitget,2000,{},base,1.5041
11,7,4,63.64,1.69,2.98,3.51,0.434,0.434,2.09,-2.89,gaussian_v75_profile,ZROUSDT,15m,bitget,2000,{},base,1.5041
10,5,5,50.0,2.07,3.14,2.37,0.469,0.469,2.31,-1.56,gaussian_v61_profile,OPUSDT,15m,bitget,2000,{},base,1.4778
10,5,5,50.0,2.07,3.14,2.37,0.469,0.469,2.31,-1.56,gaussian_v75_profile,OPUSDT,15m,bitget,2000,{},base,1.4778
12,6,6,50.0,1.67,4.81,8.2,0.585,0.585,5.19,-4.61,gaussian_v61_profile,KITEUSDT,15m,bitget,2000,{},base,1.4574
12,6,6,50.0,1.67,4.81,8.2,0.585,0.585,5.19,-4.61,gaussian_v75_profile,KITEUSDT,15m,bitget,2000,{},base,1.4574
55,26,29,47.27,1.24,-4.96,9.2,0.072,0.072,1.96,-1.65,gaussian_v62_profile,LINKUSDT,15m,bitget,2000,{},base,1.4348
15,10,5,66.67,1.33,1.47,10.69,0.283,0.283,6.23,-5.94,gaussian_v61_profile,JCTUSDT,15m,bitget,2000,{},base,1.2367
15,10,5,66.67,1.33,1.47,10.69,0.283,0.283,6.23,-5.94,gaussian_v75_profile,JCTUSDT,15m,bitget,2000,{},base,1.2367
51,25,26,49.02,1.22,-5.15,10.33,0.087,0.087,2.74,-2.29,gaussian_v62_profile,AAVEUSDT,15m,bitget,2000,{},base,1.2213
9,5,4,55.56,1.86,2.75,4.11,0.467,0.467,3.54,-2.02,gaussian_v61_profile,FARTCOINUSDT,15m,bitget,2000,{},base,1.2135
9,5,4,55.56,1.86,2.75,4.11,0.467,0.467,3.54,-2.02,gaussian_v75_profile,FARTCOINUSDT,15m,bitget,2000,{},base,1.2135
14,6,8,42.86,1.53,-0.73,2.71,0.097,0.097,1.55,-0.6,gaussian_v61_profile,BNBUSDT,15m,bitget,2000,{},base,1.1883
14,6,8,42.86,1.53,-0.73,2.71,0.097,0.097,1.55,-0.6,gaussian_v75_profile,BNBUSDT,15m,bitget,2000,{},base,1.1883
5,4,1,80.0,2.37,6.29,6.43,1.688,1.688,8.88,-6.15,gaussian_v61_profile,POWERUSDT,15m,bitget,2000,{},base,1.1603
5,4,1,80.0,2.37,6.29,6.43,1.688,1.688,8.88,-6.15,gaussian_v75_profile,POWERUSDT,15m,bitget,2000,{},base,1.1603
10,4,6,40.0,1.93,1.32,3.5,0.289,0.289,2.66,-1.86,gaussian_v61_profile,PEPEUSDT,15m,bitget,2000,{},base,1.1336
10,4,6,40.0,1.93,1.32,3.5,0.289,0.289,2.66,-1.86,gaussian_v75_profile,PEPEUSDT,15m,bitget,2000,{},base,1.1336
11,6,5,54.55,1.55,0.02,2.67,0.155,0.155,1.87,-1.63,gaussian_v61_profile,TRUMPUSDT,15m,bitget,2000,{},base,1.1139
11,6,5,54.55,1.55,0.02,2.67,0.155,0.155,1.87,-1.63,gaussian_v75_profile,TRUMPUSDT,15m,bitget,2000,{},base,1.1139
58,27,31,46.55,1.31,-1.72,16.46,0.131,0.131,4.73,-2.66,gaussian_v62_profile,ICPUSDT,15m,bitget,2000,{},base,1.022
11,6,5,54.55,1.39,0.02,3.71,0.16,0.16,2.47,-1.94,gaussian_v61_profile,AAVEUSDT,15m,bitget,2000,{},base,0.9999
11,6,5,54.55,1.39,0.02,3.71,0.16,0.16,2.47,-1.94,gaussian_v75_profile,AAVEUSDT,15m,bitget,2000,{},base,0.9999
13,7,6,53.85,1.23,-1.13,3.29,0.067,0.067,2.27,-1.61,gaussian_v61_profile,ETHUSDT,15m,bitget,2000,{},base,0.99
13,7,6,53.85,1.23,-1.13,3.29,0.067,0.067,2.27,-1.61,gaussian_v75_profile,ETHUSDT,15m,bitget,2000,{},base,0.99
14,7,7,50.0,1.22,-0.97,4.68,0.086,0.086,1.64,-2.47,gaussian_v61_profile,WIFUSDT,15m,bitget,2000,{},base,0.9614
14,7,7,50.0,1.22,-0.97,4.68,0.086,0.086,1.64,-2.47,gaussian_v75_profile,WIFUSDT,15m,bitget,2000,{},base,0.9614
13,7,6,53.85,1.17,-1.1,3.36,0.071,0.071,1.41,-1.98,gaussian_v61_profile,SANDUSDT,15m,bitget,2000,{},base,0.9591
13,7,6,53.85,1.17,-1.1,3.36,0.071,0.071,1.41,-1.98,gaussian_v75_profile,SANDUSDT,15m,bitget,2000,{},base,0.9591
12,6,6,50.0,1.26,-0.86,2.51,0.082,0.082,1.96,-1.4,gaussian_v61_profile,LINKUSDT,15m,bitget,2000,{},base,0.9521
12,6,6,50.0,1.26,-0.86,2.51,0.082,0.082,1.96,-1.4,gaussian_v75_profile,LINKUSDT,15m,bitget,2000,{},base,0.9521
14,9,5,64.29,1.2,-0.6,9.11,0.133,0.133,5.05,-6.15,gaussian_v61_profile,PIXELUSDT,15m,bitget,2000,{},base,0.9144
14,9,5,64.29,1.2,-0.6,9.11,0.133,0.133,5.05,-6.15,gaussian_v75_profile,PIXELUSDT,15m,bitget,2000,{},base,0.9144
15,7,8,46.67,1.11,-1.78,3.73,0.036,0.036,2.5,-1.71,gaussian_v61_profile,OGNUSDT,15m,bitget,2000,{},base,0.8903
15,7,8,46.67,1.11,-1.78,3.73,0.036,0.036,2.5,-1.71,gaussian_v75_profile,OGNUSDT,15m,bitget,2000,{},base,0.8903
22,11,11,50.0,0.96,-3.7,5.04,-0.015,-0.015,1.45,-2.44,gaussian_v61_profile,AVNTUSDT,15m,bitget,2000,{},base,0.8611
22,11,11,50.0,0.96,-3.7,5.04,-0.015,-0.015,1.45,-2.44,gaussian_v75_profile,AVNTUSDT,15m,bitget,2000,{},base,0.8611
5,3,2,60.0,2.62,1.45,1.53,0.448,0.448,2.48,-1.23,gaussian_v61_profile,ROBOUSDT,15m,bitget,1220,{},base,0.8593
5,3,2,60.0,2.62,1.45,1.53,0.448,0.448,2.48,-1.23,gaussian_v75_profile,ROBOUSDT,15m,bitget,1220,{},base,0.8593
11,5,6,45.45,1.35,-0.52,3.6,0.104,0.104,1.35,-1.33,gaussian_v61_profile,ONDOUSDT,15m,bitget,2000,{},base,0.8527
11,5,6,45.45,1.35,-0.52,3.6,0.104,0.104,1.35,-1.33,gaussian_v75_profile,ONDOUSDT,15m,bitget,2000,{},base,0.8527
10,5,5,50.0,1.3,-0.71,2.75,0.083,0.083,0.9,-0.8,gaussian_v61_profile,COMPUSDT,15m,bitget,2000,{},base,0.8077
10,5,5,50.0,1.3,-0.71,2.75,0.083,0.083,0.9,-0.8,gaussian_v75_profile,COMPUSDT,15m,bitget,2000,{},base,0.8077
45,22,23,48.89,1.11,-4.2,12.06,0.076,0.076,6.23,-5.94,gaussian_v62_profile,JCTUSDT,15m,bitget,2000,{},base,0.779
14,6,8,42.86,1.08,-1.74,4.05,0.029,0.029,1.35,-1.79,gaussian_v61_profile,ACXUSDT,15m,bitget,2000,{},base,0.7525
14,6,8,42.86,1.08,-1.74,4.05,0.029,0.029,1.35,-1.79,gaussian_v75_profile,ACXUSDT,15m,bitget,2000,{},base,0.7525
42,19,23,45.24,1.15,-2.56,14.25,0.136,0.136,5.19,-4.61,gaussian_v62_profile,KITEUSDT,15m,bitget,2000,{},base,0.7489
11,5,6,45.45,1.16,-0.92,3.31,0.072,0.072,1.61,-1.86,gaussian_v61_profile,HBARUSDT,15m,bitget,2000,{},base,0.7458
11,5,6,45.45,1.16,-0.92,3.31,0.072,0.072,1.61,-1.86,gaussian_v75_profile,HBARUSDT,15m,bitget,2000,{},base,0.7458
11,6,5,54.55,1.07,-1.28,4.5,0.048,0.048,2.53,-2.91,gaussian_v61_profile,1000BONKUSDT,15m,bitget,2000,{},base,0.7036
11,6,5,54.55,1.07,-1.28,4.5,0.048,0.048,2.53,-2.91,gaussian_v75_profile,1000BONKUSDT,15m,bitget,2000,{},base,0.7036
12,6,6,50.0,1.08,-1.63,4.81,0.033,0.033,1.83,-1.81,gaussian_v61_profile,FILUSDT,15m,bitget,2000,{},base,0.6856
