symbol,baseCoin,granularity,profile,lookback_days,bars,trades,wins,losses,win_rate_pct,profit_factor,gross_profit_pct,gross_loss_pct,avg_trade_pct,avg_win_pct,avg_loss_pct,expectancy_pct,max_drawdown_pct,net_return_pct,quality_score,last_close,trend_state,last_signal,last_bar_utc
AINUSDT,AIN,15m,Manual,30,2781,47,30,17,63.8298,2.5908,82.7463,-31.9387,1.081,2.7582,-1.8787,1.081,-11.3208,61.0416,14.6076,0.05556,LONG,NONE,2026-03-13T11:30:00+00:00
COAIUSDT,COAI,15m,Manual,30,2781,33,21,12,63.6364,2.0257,62.3112,-30.7606,0.9561,2.9672,-2.5634,0.9561,-8.8813,33.8449,14.5146,0.3167,SHORT,NONE,2026-03-13T11:30:00+00:00
QUSDT,Q,15m,Manual,30,2781,32,18,14,56.25,1.7433,49.5851,-28.4437,0.6607,2.7547,-2.0317,0.6607,-6.9786,21.6888,14.0516,0.012862,LONG,NONE,2026-03-13T11:45:00+00:00
PIPPINUSDT,PIPPIN,15m,Manual,30,2781,25,16,9,64.0,2.0925,82.5852,-39.4673,1.7247,5.1616,-4.3853,1.7247,-9.5917,47.0466,13.9621,0.3594,LONG,NONE,2026-03-13T11:45:00+00:00
DOGSUSDT,DOGS,15m,Manual,30,2781,40,23,16,57.5,2.2768,58.8033,-25.8267,0.8244,2.5567,-1.6142,0.7841,-9.469,36.9969,13.8257,3.18e-05,LONG,NONE,2026-03-13T11:30:00+00:00
KAVAUSDT,KAVA,15m,Manual,30,2781,29,17,12,58.6207,2.4649,55.1991,-22.3939,1.1312,3.247,-1.8662,1.1312,-10.9209,36.2001,13.231,0.0594,SHORT,NONE,2026-03-13T11:30:00+00:00
PARTIUSDT,PARTI,15m,Manual,30,2781,56,32,24,57.1429,3.0228,81.852,-27.0786,0.9781,2.5579,-1.1283,0.9781,-13.0789,69.3517,13.2069,0.08092,LONG,NONE,2026-03-13T11:45:00+00:00
SENTUSDT,SENT,15m,Manual,30,2781,28,18,10,64.2857,2.3175,64.2774,-27.7363,1.305,3.571,-2.7736,1.305,-11.7283,40.7288,12.7028,0.02161,SHORT,NONE,2026-03-13T11:45:00+00:00
BOBUSDT,BOB,15m,Manual,30,2781,34,22,12,64.7059,2.2294,62.648,-28.1008,1.0161,2.8476,-2.3417,1.0161,-11.3745,38.1232,12.6823,0.006389,SHORT,NONE,2026-03-13T11:30:00+00:00
B3USDT,B3,15m,Manual,30,2781,35,22,13,62.8571,1.903,51.794,-27.2172,0.7022,2.3543,-2.0936,0.7022,-9.5846,25.9992,12.4801,0.0003888,SHORT,NONE,2026-03-13T11:30:00+00:00
